[Debug]2016/09/04 21:53:52 Configuraion file loaded
[Debug]2016/09/04 21:53:52 initiated Tickermap
[Debug]2016/09/04 21:53:52 Added:0001 to Tickermap
[Debug]2016/09/04 21:53:52 Added:0002 to Tickermap
[Debug]2016/09/04 21:53:52 Added:0003 to Tickermap
[Debug]2016/09/04 21:53:52 Added:0004 to Tickermap
[Debug]2016/09/04 21:53:52 Added:0005 to Tickermap
[Debug]2016/09/04 21:53:52 Added:0006 to Tickermap
[Debug]2016/09/04 21:53:52 Added:0011 to Tickermap
[Debug]2016/09/04 21:53:52 Added:0012 to Tickermap
[Debug]2016/09/04 21:53:52 Added:0016 to Tickermap
[Debug]2016/09/04 21:53:52 Added:0017 to Tickermap
[Debug]2016/09/04 21:53:52 Added:0019 to Tickermap
[Debug]2016/09/04 21:53:52 Added:0023 to Tickermap
[Debug]2016/09/04 21:53:52 Added:0027 to Tickermap
[Debug]2016/09/04 21:53:52 Added:0066 to Tickermap
[Debug]2016/09/04 21:53:52 Added:0083 to Tickermap
[Debug]2016/09/04 21:53:52 Added:0101 to Tickermap
[Debug]2016/09/04 21:53:52 Added:0135 to Tickermap
[Debug]2016/09/04 21:53:52 Added:0144 to Tickermap
[Debug]2016/09/04 21:53:52 Added:0151 to Tickermap
[Debug]2016/09/04 21:53:52 Added:0267 to Tickermap
[Debug]2016/09/04 21:53:52 Added:0293 to Tickermap
[Debug]2016/09/04 21:53:52 Added:0322 to Tickermap
[Debug]2016/09/04 21:53:52 Added:0386 to Tickermap
[Debug]2016/09/04 21:53:52 Added:0388 to Tickermap
[Debug]2016/09/04 21:53:52 Added:0494 to Tickermap
[Debug]2016/09/04 21:53:52 Added:0688 to Tickermap
[Debug]2016/09/04 21:53:52 Added:0700 to Tickermap
[Debug]2016/09/04 21:53:52 Added:0762 to Tickermap
[Debug]2016/09/04 21:53:52 Added:0823 to Tickermap
[Debug]2016/09/04 21:53:52 Added:0836 to Tickermap
[Debug]2016/09/04 21:53:52 Added:0857 to Tickermap
[Debug]2016/09/04 21:53:52 Added:0883 to Tickermap
[Debug]2016/09/04 21:53:52 Added:0939 to Tickermap
[Debug]2016/09/04 21:53:52 Added:0941 to Tickermap
[Debug]2016/09/04 21:53:52 Added:0992 to Tickermap
[Debug]2016/09/04 21:53:52 Added:1038 to Tickermap
[Debug]2016/09/04 21:53:52 Added:1044 to Tickermap
[Debug]2016/09/04 21:53:52 Added:1088 to Tickermap
[Debug]2016/09/04 21:53:52 Added:1109 to Tickermap
[Debug]2016/09/04 21:53:52 Added:1113 to Tickermap
[Debug]2016/09/04 21:53:52 Added:1299 to Tickermap
[Debug]2016/09/04 21:53:52 Added:1398 to Tickermap
[Debug]2016/09/04 21:53:52 Added:1880 to Tickermap
[Debug]2016/09/04 21:53:52 Added:1928 to Tickermap
[Debug]2016/09/04 21:53:52 Added:2318 to Tickermap
[Debug]2016/09/04 21:53:52 Added:2319 to Tickermap
[Debug]2016/09/04 21:53:52 Added:2388 to Tickermap
[Debug]2016/09/04 21:53:52 Added:2628 to Tickermap
[Debug]2016/09/04 21:53:52 Added:3328 to Tickermap
[Debug]2016/09/04 21:53:52 Added:3988 to Tickermap
[Debug]2016/09/04 21:53:52 Request stock code are: 0001,0002,0003,0004,0005,0006,0011,0012,0016,0017,0019,0023,0027,0066,0083,0101,0135,0144,0151,0267,0293,0322,0386,0388,0494,0688,0700,0762,0823,0836,0857,0883,0939,0941,0992,1038,1044,1088,1109,1113,1299,1398,1880,1928,2318,2319,2388,2628,3328,3988
[Debug]2016/09/04 21:53:52 Schedule:-GetLiveStockFromGoogle-initiated
